ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
AKL-SYD,AKL,SYD,B,4,New Zealand,25,7,New Zealand,Australia - New South Wales,399.13,2
AKL-SYD,AKL,SYD,O,4,New Zealand,25,,New Zealand,Australia - New South Wales,551.02,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,25,10,Australia - Queensland,Hong Kong,1205.69,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,25,,Australia - Queensland,Hong Kong,1577.54,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,25,,Australia - Queensland,Hong Kong,1269.84,2
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,1844.36,1
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,1678.71,2
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,2916.37,2
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,3580.88,2
SFO-AKL,SFO,AKL,B,16,South Pacific,25,,USA - West Coast,New Zealand,2011.44,1
SIN-DXB,SIN,DXB,O,11,Southern Asia,25,,Singapore,UAE,1079.46,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,25,7,Singapore,UK,5081.05,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,25,,Singapore,UK,5663.02,2
SOU-AKL,SOU,AKL,I,40,West Bound,25,,UK,New Zealand,3211.89,2
SOU-AKL,SOU,AKL,O,40,West Bound,25,,UK,New Zealand,6496.14,2
SOU-AKL,SOU,AKL,S,40,West Bound,25,,UK,New Zealand,9915.87,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,25,2,UK,USA - West Coast,3129.08,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,25,25,UK,USA - West Coast,1693.12,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,25,,UK,USA - West Coast,2149.97,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,25,,UK,USA - West Coast,1748.89,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,25,,UK,USA - West Coast,4679.65,2
SOU-SOU,SOU,SOU,O,99,West Bound,25,7,UK,UK,12066.09,1
SOU-SOU,SOU,SOU,I,99,West Bound,25,,UK,UK,14344.85,2
SOU-SOU,SOU,SOU,O,99,West Bound,25,,UK,UK,15396.82,2
SOU-SOU,SOU,SOU,S,99,West Bound,25,,UK,UK,33671.80,2
SOU-SYD,SOU,SYD,B,44,West Bound,25,,UK,Australia - New South Wales,9419.84,1
SOU-SYD,SOU,SYD,B,44,West Bound,25,18,UK,Australia - New South Wales,6018.58,2
SOU-SYD,SOU,SYD,I,44,West Bound,25,,UK,Australia - New South Wales,3899.70,2
SOU-SYD,SOU,SYD,O,44,West Bound,25,,UK,Australia - New South Wales,3598.32,2
SOU-SYD,SOU,SYD,O,44,West Bound,25,,UK,Australia - New South Wales,3040.25,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,25,,Australia - New South Wales,Australia - Queensland,512.40,1
SYD-BNE,SYD,BNE,S,3,South Coast/Tasmania,25,17,Australia - New South Wales,Australia - Queensland,906.75,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,25,,Australia - New South Wales,Australia - Queensland,395.30,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,25,,Australia - New South Wales,Hong Kong,1774.12,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,25,,Australia - New South Wales,Hong Kong,3989.21,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,25,,Australia - New South Wales,Hong Kong,2128.32,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,25,14,Australia - New South Wales,Singapore,4553.22,1
SYD-SOU,SYD,SOU,B,55,Southeast Asia,25,8,Australia - New South Wales,UK,9978.56,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,25,,Australia - New South Wales,UK,7647.66,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,25,,Australia - New South Wales,UK,10832.91,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,25,,Australia - New South Wales,UK,7588.55,2
AKL-SYD,AKL,SYD,B,4,New Zealand,26,19,New Zealand,Australia - New South Wales,654.14,2
AKL-SYD,AKL,SYD,B,4,New Zealand,26,22,New Zealand,Australia - New South Wales,505.73,2
AKL-SYD,AKL,SYD,B,4,New Zealand,26,26,New Zealand,Australia - New South Wales,432.82,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,26,24,Australia - Queensland,Hong Kong,1193.67,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,2780.67,1
DXB-SOU,DXB,SOU,B,19,Middle East,26,11,UAE,UK,3162.54,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,14,UAE,UK,1672.83,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,18,UAE,UK,1784.88,2
DXB-SOU,DXB,SOU,O,19,Middle East,26,18,UAE,UK,2772.15,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,2903.16,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,2480.07,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,1472.00,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,2638.92,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,26,16,Hong Kong,UAE,4330.87,2
SFO-SYD,SFO,SYD,B,20,South Pacific,26,,USA - West Coast,Australia - New South Wales,4484.16,2
SFO-SYD,SFO,SYD,B,20,South Pacific,26,,USA - West Coast,Australia - New South Wales,4032.98,2
SFO-SYD,SFO,SYD,I,20,South Pacific,26,,USA - West Coast,Australia - New South Wales,4046.07,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,26,9,Singapore,UK,6130.34,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,26,,Singapore,UK,5231.69,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,26,,Singapore,UK,4634.70,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,26,,Singapore,UK,1793.65,2
SIN-SOU,SIN,SOU,S,30,Southern Asia,26,,Singapore,UK,10287.07,2
SOU-AKL,SOU,AKL,B,40,West Bound,26,3,UK,New Zealand,5877.64,2
SOU-AKL,SOU,AKL,B,40,West Bound,26,25,UK,New Zealand,6264.81,2
SOU-AKL,SOU,AKL,B,40,West Bound,26,,UK,New Zealand,7448.96,2
SOU-AKL,SOU,AKL,I,40,West Bound,26,,UK,New Zealand,5928.52,2
SOU-BNE,SOU,BNE,B,47,West Bound,26,,UK,Australia - Queensland,6785.60,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,24,UK,USA - West Coast,2968.13,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,,UK,USA - West Coast,2050.38,1
SOU-SFO,SOU,SFO,I,24,Panama Canal,26,12,UK,USA - West Coast,3158.50,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,16,UK,USA - West Coast,4136.80,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,21,UK,USA - West Coast,2313.76,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,26,22,UK,USA - West Coast,1781.76,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,24,UK,USA - West Coast,1773.19,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,26,26,UK,USA - West Coast,1701.93,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,,UK,USA - West Coast,5363.13,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,,UK,USA - West Coast,2581.56,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,,UK,USA - West Coast,2349.20,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,26,,UK,USA - West Coast,5217.82,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,26,,UK,USA - West Coast,3318.17,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,,UK,USA - West Coast,2320.59,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,,UK,USA - West Coast,3358.94,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,,UK,USA - West Coast,1926.28,2
SOU-SOU,SOU,SOU,S,99,West Bound,26,12,UK,UK,29986.33,2
SOU-SOU,SOU,SOU,B,99,West Bound,26,,UK,UK,16509.20,2
SOU-SOU,SOU,SOU,B,99,West Bound,26,,UK,UK,22874.79,2
SOU-SOU,SOU,SOU,I,99,West Bound,26,,UK,UK,24686.80,2
SOU-SOU,SOU,SOU,I,99,West Bound,26,,UK,UK,18040.62,2
SOU-SOU,SOU,SOU,I,99,West Bound,26,,UK,UK,25051.92,2
SOU-SYD,SOU,SYD,I,44,West Bound,26,8,UK,Australia - New South Wales,5223.97,2
SOU-SYD,SOU,SYD,B,44,West Bound,26,15,UK,Australia - New South Wales,7296.58,2
SOU-SYD,SOU,SYD,B,44,West Bound,26,,UK,Australia - New South Wales,6532.49,2
SOU-SYD,SOU,SYD,I,44,West Bound,26,,UK,Australia - New South Wales,4999.93,2
SOU-SYD,SOU,SYD,I,44,West Bound,26,,UK,Australia - New South Wales,9986.62,2
SOU-SYD,SOU,SYD,I,44,West Bound,26,,UK,Australia - New South Wales,5491.96,2
SOU-SYD,SOU,SYD,O,44,West Bound,26,,UK,Australia - New South Wales,3489.95,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,26,7,Australia - New South Wales,Australia - Queensland,336.60,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,26,8,Australia - New South Wales,Australia - Queensland,551.44,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,879.81,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,418.68,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,379.23,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,439.13,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,364.06,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,26,,Australia - New South Wales,Hong Kong,1997.20,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,26,,Australia - New South Wales,Hong Kong,3777.88,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,26,,Australia - New South Wales,Singapore,3756.91,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,26,,Australia - New South Wales,Singapore,3242.29,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,26,,Australia - New South Wales,UK,16689.16,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,27,,New Zealand,UK,9057.97,2
AKL-SYD,AKL,SYD,B,4,New Zealand,27,,New Zealand,Australia - New South Wales,556.80,1
AKL-SYD,AKL,SYD,B,4,New Zealand,27,,New Zealand,Australia - New South Wales,508.41,2
AKL-SYD,AKL,SYD,B,4,New Zealand,27,,New Zealand,Australia - New South Wales,665.99,2
AKL-SYD,AKL,SYD,B,4,New Zealand,27,,New Zealand,Australia - New South Wales,604.19,2
AKL-SYD,AKL,SYD,I,4,New Zealand,27,,New Zealand,Australia - New South Wales,560.58,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,27,,Australia - Queensland,Hong Kong,1136.38,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,27,,Australia - Queensland,UK,9250.66,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,19,UAE,UK,1614.57,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,26,UAE,UK,1890.21,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,26,UAE,UK,2320.48,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,,UAE,UK,2292.41,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,,UAE,UK,1531.94,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,,UAE,UK,1726.69,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,,UAE,UK,3939.73,2
DXB-SOU,DXB,SOU,B,19,Middle East,27,,UAE,UK,5135.76,2
DXB-SOU,DXB,SOU,O,19,Middle East,27,,UAE,UK,2481.68,2
DXB-SOU,DXB,SOU,O,19,Middle East,27,,UAE,UK,2767.68,2
DXB-SOU,DXB,SOU,O,19,Middle East,27,,UAE,UK,4353.94,2
SFO-SYD,SFO,SYD,B,20,South Pacific,27,11,USA - West Coast,Australia - New South Wales,4790.73,2
SFO-SYD,SFO,SYD,I,20,South Pacific,27,13,USA - West Coast,Australia - New South Wales,3529.68,2
SFO-SYD,SFO,SYD,I,20,South Pacific,27,,USA - West Coast,Australia - New South Wales,3167.20,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,27,9,Singapore,UK,5910.85,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,27,27,Singapore,UK,3494.47,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,27,,Singapore,UK,6958.50,2
SOU-AKL,SOU,AKL,B,40,West Bound,27,,UK,New Zealand,7871.11,1
SOU-AKL,SOU,AKL,I,40,West Bound,27,16,UK,New Zealand,7097.20,2
SOU-BNE,SOU,BNE,B,47,West Bound,27,,UK,Australia - Queensland,6335.17,2
SOU-BNE,SOU,BNE,I,47,West Bound,27,,UK,Australia - Queensland,5215.77,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2657.13,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2315.40,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2599.67,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,27,UK,USA - West Coast,2334.53,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,3790.85,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,5152.03,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,4293.86,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,3487.26,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2534.79,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2329.65,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2861.12,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,27,,UK,USA - West Coast,1634.06,2
SOU-SOU,SOU,SOU,B,99,West Bound,27,6,UK,UK,30852.63,2
SOU-SOU,SOU,SOU,B,99,West Bound,27,,UK,UK,31516.48,2
SOU-SOU,SOU,SOU,B,99,West Bound,27,,UK,UK,17396.06,2
SOU-SOU,SOU,SOU,B,99,West Bound,27,,UK,UK,29805.61,2
SOU-SOU,SOU,SOU,I,99,West Bound,27,,UK,UK,19018.91,2
SOU-SOU,SOU,SOU,O,99,West Bound,27,,UK,UK,10015.09,2
SOU-SYD,SOU,SYD,O,44,West Bound,27,16,UK,Australia - New South Wales,4248.27,2
SOU-SYD,SOU,SYD,I,44,West Bound,27,22,UK,Australia - New South Wales,5252.92,2
SOU-SYD,SOU,SYD,B,44,West Bound,27,,UK,Australia - New South Wales,4117.94,2
SOU-SYD,SOU,SYD,I,44,West Bound,27,,UK,Australia - New South Wales,4211.37,2
SOU-SYD,SOU,SYD,O,44,West Bound,27,,UK,Australia - New South Wales,5206.11,2
SOU-SYD,SOU,SYD,S,44,West Bound,27,,UK,Australia - New South Wales,15528.03,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,27,19,Australia - New South Wales,Hong Kong,3277.10,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,27,11,Australia - New South Wales,Hong Kong,2468.38,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,27,16,Australia - New South Wales,Hong Kong,1861.38,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,27,,Australia - New South Wales,Hong Kong,2107.91,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,27,,Australia - New South Wales,Hong Kong,2142.30,2
SYD-SIN,SYD,SIN,S,25,Southeast Asia,27,,Australia - New South Wales,Singapore,8339.69,1
SYD-SIN,SYD,SIN,B,25,Southeast Asia,27,11,Australia - New South Wales,Singapore,5032.55,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,27,,Australia - New South Wales,Singapore,3994.01,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,27,,Australia - New South Wales,Singapore,5988.07,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,27,,Australia - New South Wales,Singapore,4480.50,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,27,,Australia - New South Wales,UK,16503.51,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,27,,Australia - New South Wales,UK,13611.58,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,27,,Australia - New South Wales,UK,7390.68,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,27,,Australia - New South Wales,UK,17211.70,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,28,,New Zealand,UK,8077.52,2
AKL-SYD,AKL,SYD,I,4,New Zealand,28,23,New Zealand,Australia - New South Wales,327.44,2
AKL-SYD,AKL,SYD,B,4,New Zealand,28,,New Zealand,Australia - New South Wales,743.32,2
AKL-SYD,AKL,SYD,I,4,New Zealand,28,,New Zealand,Australia - New South Wales,847.02,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,28,1,Australia - Queensland,Hong Kong,1298.76,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,28,,Australia - Queensland,Hong Kong,1438.98,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,28,,Australia - Queensland,Hong Kong,1759.77,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,28,,Australia - Queensland,UK,4807.53,2
BNE-SOU,BNE,SOU,O,52,Southeast Asia,28,,Australia - Queensland,UK,13556.00,2
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,7297.16,1
DXB-SOU,DXB,SOU,I,19,Middle East,28,,UAE,UK,1389.97,1
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,8294.68,2
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,2557.91,2
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,1762.15,2
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,3231.81,2
DXB-SOU,DXB,SOU,B,19,Middle East,28,,UAE,UK,1583.34,2
DXB-SOU,DXB,SOU,I,19,Middle East,28,,UAE,UK,1289.84,2
DXB-SOU,DXB,SOU,I,19,Middle East,28,,UAE,UK,1655.22,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,28,,Hong Kong,UAE,1898.12,2
SFO-SYD,SFO,SYD,B,20,South Pacific,28,,USA - West Coast,Australia - New South Wales,2917.68,1
SFO-SYD,SFO,SYD,O,20,South Pacific,28,13,USA - West Coast,Australia - New South Wales,3208.48,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,28,,Singapore,UK,5000.77,2
SOU-AKL,SOU,AKL,B,40,West Bound,28,25,UK,New Zealand,6969.83,2
SOU-AKL,SOU,AKL,O,40,West Bound,28,,UK,New Zealand,5189.32,2
SOU-AKL,SOU,AKL,O,40,West Bound,28,,UK,New Zealand,11112.44,2
SOU-BNE,SOU,BNE,B,47,West Bound,28,,UK,Australia - Queensland,7711.25,2
SOU-BNE,SOU,BNE,I,47,West Bound,28,,UK,Australia - Queensland,6559.53,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,0,UK,USA - West Coast,2095.24,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,28,2,UK,USA - West Coast,3253.42,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,3,UK,USA - West Coast,2035.71,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,3,UK,USA - West Coast,2165.05,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,4,UK,USA - West Coast,2346.08,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,10,UK,USA - West Coast,3926.56,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,12,UK,USA - West Coast,2381.57,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,27,UK,USA - West Coast,2196.23,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,28,UK,USA - West Coast,2375.89,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,,UK,USA - West Coast,4838.06,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,28,,UK,USA - West Coast,2327.52,2
SOU-SOU,SOU,SOU,B,99,West Bound,28,,UK,UK,24141.17,2
SOU-SYD,SOU,SYD,B,44,West Bound,28,8,UK,Australia - New South Wales,4094.33,1
SOU-SYD,SOU,SYD,I,44,West Bound,28,18,UK,Australia - New South Wales,2721.48,2
SOU-SYD,SOU,SYD,B,44,West Bound,28,,UK,Australia - New South Wales,9298.88,2
SOU-SYD,SOU,SYD,B,44,West Bound,28,,UK,Australia - New South Wales,8435.09,2
SOU-SYD,SOU,SYD,I,44,West Bound,28,,UK,Australia - New South Wales,5139.62,2
SOU-SYD,SOU,SYD,I,44,West Bound,28,,UK,Australia - New South Wales,3488.08,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,28,3,Australia - New South Wales,Australia - Queensland,364.82,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,28,8,Australia - New South Wales,Australia - Queensland,358.97,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,28,,Australia - New South Wales,Australia - Queensland,515.98,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,28,,Australia - New South Wales,Hong Kong,1831.79,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,28,,Australia - New South Wales,Hong Kong,1849.13,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,28,,Australia - New South Wales,Hong Kong,1812.99,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,28,,Australia - New South Wales,Hong Kong,1708.31,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,28,,Australia - New South Wales,Hong Kong,2348.40,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,28,17,Australia - New South Wales,Singapore,2173.20,1
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,13,Australia - New South Wales,Singapore,6108.46,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,,Australia - New South Wales,Singapore,3590.39,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,,Australia - New South Wales,Singapore,4239.18,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,,Australia - New South Wales,Singapore,3356.61,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,,Australia - New South Wales,Singapore,4717.93,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,28,,Australia - New South Wales,Singapore,3952.38,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,28,,Australia - New South Wales,Singapore,2634.26,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,28,,Australia - New South Wales,Singapore,2648.76,2
SYD-SIN,SYD,SIN,S,25,Southeast Asia,28,,Australia - New South Wales,Singapore,10821.67,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,28,,Australia - New South Wales,UK,10930.18,1
SYD-SOU,SYD,SOU,I,55,Southeast Asia,28,26,Australia - New South Wales,UK,5026.23,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,28,,Australia - New South Wales,UK,9660.31,2
AKL-SYD,AKL,SYD,B,4,New Zealand,29,2,New Zealand,Australia - New South Wales,565.88,2
AKL-SYD,AKL,SYD,B,4,New Zealand,29,,New Zealand,Australia - New South Wales,620.14,2
BNE-HKG,BNE,HKG,S,16,GB Reef/Queensland,29,27,Australia - Queensland,Hong Kong,3141.34,1
DXB-SOU,DXB,SOU,B,19,Middle East,29,,UAE,UK,2460.44,1
DXB-SOU,DXB,SOU,B,19,Middle East,29,12,UAE,UK,1564.22,2
DXB-SOU,DXB,SOU,B,19,Middle East,29,27,UAE,UK,1962.56,2
DXB-SOU,DXB,SOU,B,19,Middle East,29,,UAE,UK,5859.02,2
DXB-SOU,DXB,SOU,B,19,Middle East,29,,UAE,UK,2166.72,2
SFO-SYD,SFO,SYD,B,20,South Pacific,29,,USA - West Coast,Australia - New South Wales,4224.36,1
SFO-SYD,SFO,SYD,B,20,South Pacific,29,8,USA - West Coast,Australia - New South Wales,5130.93,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,29,,Singapore,UAE,1297.06,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,29,11,Singapore,UK,7334.05,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,29,,Singapore,UK,4968.09,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,29,,Singapore,UK,4847.17,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,29,,Singapore,UK,2874.59,2
SIN-SOU,SIN,SOU,S,30,Southern Asia,29,,Singapore,UK,9631.39,2
SOU-AKL,SOU,AKL,I,40,West Bound,29,22,UK,New Zealand,5405.52,2
SOU-AKL,SOU,AKL,B,40,West Bound,29,26,UK,New Zealand,8145.68,2
SOU-AKL,SOU,AKL,I,40,West Bound,29,,UK,New Zealand,7089.59,2
SOU-BNE,SOU,BNE,B,47,West Bound,29,,UK,Australia - Queensland,8966.31,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,2,UK,USA - West Coast,2419.71,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,5,UK,USA - West Coast,2347.64,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,12,UK,USA - West Coast,3089.09,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,26,UK,USA - West Coast,3169.42,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,29,UK,USA - West Coast,2334.83,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,29,29,UK,USA - West Coast,2138.66,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,,UK,USA - West Coast,2449.35,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,,UK,USA - West Coast,2437.09,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,,UK,USA - West Coast,2188.51,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,,UK,USA - West Coast,1757.22,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,,UK,USA - West Coast,4824.22,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,29,,UK,USA - West Coast,3100.73,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,29,,UK,USA - West Coast,3338.09,2
SOU-SOU,SOU,SOU,B,99,West Bound,29,,UK,UK,18020.93,1
SOU-SOU,SOU,SOU,O,99,West Bound,29,2,UK,UK,14631.78,2
SOU-SOU,SOU,SOU,B,99,West Bound,29,18,UK,UK,21503.70,2
SOU-SYD,SOU,SYD,O,44,West Bound,29,,UK,Australia - New South Wales,4787.80,1
SOU-SYD,SOU,SYD,O,44,West Bound,29,5,UK,Australia - New South Wales,7213.57,2
SOU-SYD,SOU,SYD,O,44,West Bound,29,12,UK,Australia - New South Wales,10556.44,2
SOU-SYD,SOU,SYD,O,44,West Bound,29,16,UK,Australia - New South Wales,6547.73,2
SOU-SYD,SOU,SYD,I,44,West Bound,29,22,UK,Australia - New South Wales,3156.32,2
SOU-SYD,SOU,SYD,B,44,West Bound,29,,UK,Australia - New South Wales,8680.21,2
